product_id,price,n_reviews_total,y_favrate_only,y_50_50,y_30_70,y_70_30,y_sentiment_only,m_e_avg,m_f_avg,me1_z,me2_z,me3_z,me4_z,me5_z,mf1_z,mf2_z,mf3_z,mf4_z,mf5_z,mf6_z,mf7_z,z_pc1,z_pc2,z_pc3,z_pc4,z_pc5,z_pc6,z_pc7,has_discount,free_shipping,ln_imperfection,ln_brand_avg_price,recency_inv,sentiment_mean,favorable_rate_raw,favorable_rate_logit,sentiment_z,favrate_z,brand
2-4,628,177,-0.403035099,-0.183526247,-0.271329788,-0.095722706,0.035982606,0.212379873,0.327615662,0.330965477,-0.012546831,-0.098645115,-0.202263924,1.044389758,0.807297259,0.187653599,0.42360181,0.158130882,-0.103322469,0.67693709,0.143011465,-0.80076309,1.050522596,-0.426874968,0.378361026,0.231510552,-0.098563154,0.106319072,1,1,-0.6733445532637656,7.404157382082404,0.3333333333333333,0.779661017,0.99,4.500819262,0.035982606,-0.403035099,JN
2-5,938,13,1.089110451,0.50556645,0.73898405,0.272148849,-0.077977552,-0.579454279,-0.315000141,-1.01256711,-0.83348885,0.121291981,-0.487313601,-0.685193816,-0.522469743,0.355329073,0.140141529,0.601637678,-0.862776561,-0.819962864,-1.096900102,1.157645751,0.230195798,-0.188716883,-0.310281755,-0.249433614,-0.033753044,0.221742229,0,1,0.009950330853168,6.612712852124064,0.0014992503748125,0.761538462,1.0,6.908754779,-0.077977552,1.089110451,XD
2-6,670,155,1.089110451,0.817173032,0.925948,0.708398064,0.545235613,0.718356123,-0.014264964,1.360573018,0.054633824,0.102914861,0.878875972,1.194782939,-0.618941404,-0.432282832,-0.051232058,0.764739866,0.329688856,-0.288296366,0.196469191,0.273863686,-0.679655989,0.00838206,-0.286000374,0.335577808,0.225897578,0.212168799,1,1,-4.605170185988091,7.549671082742242,0.0017301038062283,0.860645161,1.0,6.908754779,0.545235613,1.089110451,MY
2-7,928,187,-0.403035099,0.110769623,-0.094752266,0.316291512,0.624574346,1.331348101,0.090479846,2.457945217,0.229830929,-0.055572785,0.555154061,3.469383085,-0.4638708,-0.592015631,0.835573755,0.503745106,-0.042847891,-0.434362496,0.82713688,-0.261000663,1.063644027,-0.395465928,0.219864794,0.519001098,-0.222524049,0.052830489,1,1,-4.605170185988091,7.549671082742242,0.0078125,0.873262032,0.99,4.500819262,0.624574346,-0.403035099,MY
2-8,978,200,1.089110451,0.747545267,0.88417134,0.610919193,0.405980082,0.534734047,-0.192365026,-0.005116221,0.045999298,1.282828061,1.014698604,0.335260493,-1.150271963,-0.868529024,0.121341096,0.812537533,0.386940746,-0.691199884,0.042626317,-0.112605506,-0.411441433,-0.478481489,0.107307103,-0.136321258,0.347506215,0.207406804,1,1,-1.5606477482646677,7.346655163176539,0.0020242914979757,0.8385,1.0,6.908754779,0.405980082,1.089110451,HP
2-9,736,199,-0.403035099,-0.076918025,-0.207364855,0.053528804,0.249199049,0.716670309,0.180919029,0.953592741,0.703741909,0.478342698,0.457750389,0.98992381,0.175167945,0.250778381,0.892114332,-0.043483505,0.319338539,-0.386439263,0.058956772,0.099667269,1.653807058,-0.407368041,-0.228133601,-1.047340283,-0.330427017,0.096983167,1,1,-0.3424903089467757,6.799055862058796,0.1,0.813567839,0.99,4.500819262,0.249199049,-0.403035099,AY
2-10,908,102,1.089110451,0.789868026,0.909564996,0.670171056,0.490625601,-1.000131625,-0.98870725,-1.01256711,-0.83348885,-1.144687398,-1.324720952,-0.685193816,-1.019339949,-0.868529024,-1.303124065,-1.281335297,-0.862776561,-0.819962864,-0.765882987,-0.137119347,-0.562015643,-0.620567045,0.155408442,0.190053924,0.407136029,0.468325503,1,1,-0.6733445532637656,7.404157382082404,0.0016750418760469,0.851960784,1.0,6.908754779,0.490625601,1.089110451,JN
2-11,708,119,1.089110451,0.943552793,1.001775856,0.88532973,0.797995135,0.335836339,-0.451950794,1.074393887,-0.83348885,1.275567297,0.39055671,-0.227847347,-0.751241064,-0.450720325,-0.448399328,-0.022637865,-0.580374514,-0.646836168,-0.263446294,-1.344013166,1.988716026,0.082209893,-0.55776086,-0.514438891,0.228267637,0.290188421,1,1,0.009950330853168,6.563855526532128,0.0019011406844106,0.900840336,1.0,6.908754779,0.797995135,1.089110451,PY
2-12,718,146,-1.379109601,-1.051241635,-1.182388822,-0.920094449,-0.723373669,-0.078412977,-0.276922493,-0.210200999,-0.126336379,-0.341527535,0.784809494,-0.498809467,-1.150271963,-0.868529024,1.037109765,-0.037842299,-0.747688055,-0.784685336,0.613449461,-0.0911049,0.54412745,0.459633581,1.022614081,-0.660547186,-0.62455463,0.389358463,0,1,0.9202827531436923,6.577861357721047,0.0027472527472527,0.65890411,0.95,2.92568843,-0.723373669,-1.379109601,FX
2-13,892,367,-0.403035099,-0.19668194,-0.279223203,-0.114140676,0.00967122,-0.289108073,-0.201496659,-0.476315449,5.04e-05,-0.169331351,-0.337192551,-0.46275146,-1.166445218,-0.825177103,0.232385236,0.507509132,0.007129471,-0.41063459,0.244756461,-0.525570966,-0.543939926,0.979574272,1.883779107,0.249802807,0.528823457,0.136829975,1,0,-0.0943106794712409,6.453099926683201,0.032258064516129,0.775476839,0.99,4.500819262,0.00967122,-0.403035099,HX
2-14,758,218,-0.403035099,-0.247939572,-0.309977783,-0.185901362,-0.092844046,0.003337509,0.127377502,-0.330114247,-0.377431973,-0.005983469,0.151545619,0.578671612,0.650143327,-0.202564956,0.380453497,0.208311102,-0.477388447,0.21959147,0.11309652,-0.814112189,1.211501566,-0.0361429,-0.083633082,0.468327879,0.179868652,0.309594651,1,1,-0.6733445532637656,7.404157382082404,0.0555555555555555,0.759174312,0.99,4.500819262,-0.092844046,-0.403035099,JN
2-15,779,115,1.089110451,0.856155232,0.94933732,0.762973144,0.623200012,-0.75521878,-0.953693893,-0.645850912,-0.83348885,-1.144687398,-0.762656779,-0.389409958,-0.995430625,-0.868529024,-1.371819544,-0.884374145,-0.862776561,-0.596027247,-1.096900102,-1.281964996,2.137873629,0.370635216,-0.698243195,-0.562010721,0.19379879,0.85953768,1,1,-4.605170185988091,6.712834686611667,0.0021186440677966,0.873043478,1.0,6.908754779,0.623200012,1.089110451,XM
2-16,549,132,1.089110451,0.02624809,0.451393034,-0.398896855,-1.036614272,-0.435212456,-0.34633777,-1.154561598,-0.022366711,-0.630383275,0.110290735,-0.47904143,0.224018226,-0.657598936,-0.475222111,-0.324345065,-0.353597113,-0.332224303,-0.505395087,1.250770802,0.245089247,0.167174448,-0.539268657,0.181739272,-0.144005746,0.372815769,1,1,0.009950330853168,6.612712852124064,0.0019801980198019,0.609090909,1.0,6.908754779,-1.036614272,1.089110451,XD
2-17,649,5,1.089110451,-0.253867319,0.283323789,-0.791058427,-1.596845089,-1.000131625,-1.516574911,-1.01256711,-0.83348885,-1.144687398,-1.324720952,-0.685193816,-1.150271963,-2.459544551,1.659368471,-2.509562231,-0.862776561,-0.819962864,-4.473274678,1.136373694,0.252225266,-0.073813081,-0.459736579,0.13912679,-0.050032024,0.403281992,1,1,-1.5606477482646677,6.476972362889683,0.002079002079002,0.52,1.0,6.908754779,-1.596845089,1.089110451,SO
2-18,549,80,-1.237380537,-1.197022135,-1.213165496,-1.180878774,-1.156663732,-0.519015234,-0.161106285,-0.778276206,-0.068716548,-0.7332441,-0.329645499,-0.685193816,-0.16719076,0.275013386,-0.500782337,-0.84410154,0.397442573,-0.272720199,-0.015405121,1.23906567,0.401765465,-0.109461581,-0.211795353,0.28858075,-0.12317601,0.320286927,1,0,-1.1711829815029458,6.728628613084702,0.0023696682464454,0.59,0.96,3.154402342,-1.156663732,-1.237380537,CS
